subject,condition,n_samples,non_gap_samples,non_gap_coverage,recognized_aoi_samples,sample_interval_s,fixation_events,condition_primary_pass,condition_pass_40,condition_pass_60,eye_included,conditions,min_coverage,total_events,eye_included_40,eye_included_60
202511281023,gravity,12329,11233.0,0.911103901370752,10197.0,0.0166666666669925,550.0,True,True,True,True,2,0.911103901370752,1156.0,True,True
202511281023,zero_gravity,13036,11896.0,0.9125498619208346,10975.0,0.0166666666669925,606.0,True,True,True,True,2,0.911103901370752,1156.0,True,True
202511281031,gravity,14084,12371.0,0.8783726214143709,9898.0,0.0166666666669925,516.0,True,True,True,True,2,0.8783726214143709,1130.0,True,True
202511281031,zero_gravity,17078,15079.0,0.8829488230471952,11280.0,0.0166666666669925,614.0,True,True,True,True,2,0.8783726214143709,1130.0,True,True
202511281419,gravity,12789,11694.0,0.9143795449214168,9142.0,0.0166666666669925,447.0,True,True,True,True,2,0.9122766658998545,829.0,True,True
202511281419,zero_gravity,13041,11897.0,0.9122766658998545,8093.0,0.0166666666669925,382.0,True,True,True,True,2,0.9122766658998545,829.0,True,True
202511281437,gravity,14361,13629.0,0.9490286191769376,12110.0,0.0166666666669925,457.0,True,True,True,True,2,0.9490286191769376,928.0,True,True
202511281437,zero_gravity,14924,14169.0,0.9494103457518092,12107.0,0.0166666666669925,471.0,True,True,True,True,2,0.9490286191769376,928.0,True,True
202511281438,gravity,7435,6339.0,0.8525891055817081,3819.0,0.0333333333330188,319.0,True,True,True,True,2,0.8486576383939178,671.0,True,True
202511281438,zero_gravity,8418,7144.0,0.8486576383939178,4129.0,0.0333333333330188,352.0,True,True,True,True,2,0.8486576383939178,671.0,True,True
202511281621,gravity,17334,9650.0,0.5567093573324103,3210.0,0.0166666666669925,184.0,True,True,False,False,2,0.3456798968333572,229.0,False,False
202511281621,zero_gravity,13958,4825.0,0.3456798968333572,750.0,0.0166666666669925,45.0,False,False,False,False,2,0.3456798968333572,229.0,False,False
202511281630,gravity,14020,13697.0,0.9769614835948645,10670.0,0.0166666666669925,523.0,True,True,True,True,2,0.9740862792091072,1030.0,True,True
202511281630,zero_gravity,13352,13006.0,0.9740862792091072,10466.0,0.0166666666669925,507.0,True,True,True,True,2,0.9740862792091072,1030.0,True,True
202511281636,gravity,6798,41.0,0.0060311856428361,41.0,0.0333333333330188,4.0,False,False,False,False,2,0.0,4.0,False,False
202511281636,zero_gravity,7363,0.0,0.0,0.0,0.0333333333330188,0.0,False,False,False,False,2,0.0,4.0,False,False
202512011416,gravity,14359,12538.0,0.8731805836061007,11017.0,0.0166666666669925,534.0,True,True,True,True,2,0.8286052009456265,1096.0,True,True
202512011416,zero_gravity,15228,12618.0,0.8286052009456265,11200.0,0.0166666666669925,562.0,True,True,True,True,2,0.8286052009456265,1096.0,True,True
202512011436,gravity,14620,14254.0,0.9749658002735978,11222.0,0.0166666666669925,592.0,True,True,True,True,2,0.965782122905028,1142.0,True,True
202512011436,zero_gravity,15752,15213.0,0.965782122905028,11641.0,0.0166666666669925,550.0,True,True,True,True,2,0.965782122905028,1142.0,True,True
202512011444,gravity,6977,6010.0,0.8614017486025513,5347.0,0.0333333333330756,338.0,True,True,True,True,2,0.8614017486025513,751.0,True,True
202512011444,zero_gravity,8317,7360.0,0.884934471564266,6197.0,0.0333333333330756,413.0,True,True,True,True,2,0.8614017486025513,751.0,True,True
202512011612,gravity,12889,12222.0,0.9482504461168438,9434.0,0.0166666666669925,389.0,True,True,True,True,2,0.8877012152446395,866.0,True,True
202512011612,zero_gravity,15717,13952.0,0.8877012152446395,10952.0,0.0166666666669925,477.0,True,True,True,True,2,0.8877012152446395,866.0,True,True
202512011629,zero_gravity,833,757.0,0.9087635054021608,682.0,0.0166666666669925,42.0,True,True,True,False,1,0.9087635054021608,42.0,True,True
202512021035,gravity,13530,12862.0,0.9506282335550628,9046.0,0.0166666666669925,471.0,True,True,True,True,2,0.9290258730383149,868.0,True,True
202512021035,zero_gravity,14146,13142.0,0.9290258730383149,7739.0,0.0166666666669925,397.0,True,True,True,True,2,0.9290258730383149,868.0,True,True
202512021459,gravity,14936,13845.0,0.9269550080342795,11489.0,0.0166666666669925,580.0,True,True,True,True,2,0.9091301665638496,1161.0,True,True
202512021459,zero_gravity,16210,14737.0,0.9091301665638496,12546.0,0.0166666666669925,581.0,True,True,True,True,2,0.9091301665638496,1161.0,True,True
202512021644,gravity,9736,7882.0,0.8095727198027938,7065.0,0.0333333333330188,377.0,True,True,True,True,2,0.8095727198027938,595.0,True,True
202512021644,zero_gravity,6450,5512.0,0.8545736434108527,4643.0,0.0333333333330188,218.0,True,True,True,True,2,0.8095727198027938,595.0,True,True
202512021645,gravity,13824,10774.0,0.7793692129629629,10042.0,0.0166666666669925,553.0,True,True,True,True,2,0.7793692129629629,903.0,True,True
202512021645,zero_gravity,13790,11485.0,0.8328498912255258,6598.0,0.0166666666669925,350.0,True,True,True,True,2,0.7793692129629629,903.0,True,True
202512030944,gravity,6549,5796.0,0.8850206138341732,5305.0,0.0333333333330188,266.0,True,True,True,True,2,0.797460879834662,503.0,True,True
202512030944,zero_gravity,6774,5402.0,0.797460879834662,4854.0,0.0333333333330188,237.0,True,True,True,True,2,0.797460879834662,503.0,True,True
202512031019,gravity,12931,11318.0,0.8752610006960019,5027.0,0.0166666666669925,265.0,True,True,True,True,2,0.8752610006960019,446.0,True,True
202512031019,zero_gravity,13763,12125.0,0.8809852503087989,3397.0,0.0166666666669925,181.0,True,True,True,True,2,0.8752610006960019,446.0,True,True
202512031140,gravity,12325,11098.0,0.9004462474645031,8693.0,0.0166666666669925,336.0,True,True,True,True,2,0.9004462474645031,699.0,True,True
202512031140,zero_gravity,13073,11825.0,0.9045360667023636,9153.0,0.0166666666669925,363.0,True,True,True,True,2,0.9004462474645031,699.0,True,True
202512031412,gravity,7618,7126.0,0.935416119716461,5866.0,0.0333333333330188,298.0,True,True,True,True,2,0.9257362355953904,682.0,True,True
