subject,condition,accuracy,answer_rt_median,answer_rt_mean,confidence_mean,confidence_rt_median,auc,n_valid,n_confidence
202512101615,zero_gravity,0.8333333333333334,924.2688,975.1120777777778,6.888888888888889,866.0211,0.5333333333333333,36,36
202512101635,gravity,0.8888888888888888,799.9328499999999,1031.0675416666668,6.027777777777778,582.40875,0.81640625,36,36
202512101635,zero_gravity,0.7222222222222222,1091.147,1242.9063916666667,5.055555555555555,740.7094999999999,0.7134615384615385,36,36
202512111013,gravity,0.9166666666666666,1074.402,1203.7202277777776,4.361111111111111,499.7727,0.33333333333333337,36,36
202512111013,zero_gravity,0.8055555555555556,1116.7350000000001,1226.3890666666666,4.083333333333333,507.54139999999995,0.5517241379310345,36,36
202512111440,gravity,0.6571428571428571,1297.991,1394.640817142857,6.542857142857143,1046.479,0.5905797101449276,35,35
202512111440,zero_gravity,0.6470588235294118,1532.627,1704.3940058823528,5.529411764705882,1122.9625,0.5227272727272727,34,34
202512111443,gravity,0.9142857142857143,1133.085,1211.1338285714285,4.771428571428571,1083.136,0.7447916666666667,35,35
202512111443,zero_gravity,0.7142857142857143,1183.725,1399.531774285714,4.428571428571429,1248.322,0.664,35,35
202512111615,gravity,0.7741935483870968,1566.737,1605.8393774193548,5.133333333333334,1473.9425,0.5416666666666667,31,30
202512111615,zero_gravity,0.5294117647058824,1298.694,1468.8386647058824,4.6875,1574.0935,0.33928571428571425,34,32
202512111620,gravity,0.5277777777777778,974.97475,1083.372480555555,6.361111111111111,749.3326500000001,0.49535603715170284,36,36
202512111620,zero_gravity,0.5833333333333334,916.44595,1009.1924861111111,6.314285714285714,1183.839,0.57,36,35
202512121004,gravity,0.9142857142857143,1050.12,1102.4132257142858,6.828571428571428,582.4331,0.6666666666666667,35,35
202512121004,zero_gravity,0.6388888888888888,1274.7785,1291.4159444444442,6.916666666666667,582.24545,0.5183946488294314,36,36
202512121440,gravity,0.6666666666666666,1265.198,1343.8834484848485,4.96969696969697,983.2717,0.5,33,33
202512121440,zero_gravity,0.4857142857142857,1480.729,1512.0780057142856,4.857142857142857,1065.118,0.5,35,35
202512121624,gravity,0.38235294117647056,1349.4225000000001,1435.339361764706,4.0,866.6640500000001,,34,34
202512121624,zero_gravity,0.5277777777777778,1090.8825,1312.062761111111,4.0,866.6953,,36,35
202512151424,gravity,0.8055555555555556,1065.7225,1220.6005694444443,6.972222222222222,896.7134,0.4827586206896552,36,36
202512151424,zero_gravity,0.7058823529411765,1524.0265,1506.7929588235293,6.46875,1374.023,0.5181818181818182,34,32
202512151429,gravity,0.9166666666666666,1099.4975,1223.5786055555557,6.833333333333333,725.67115,0.6666666666666667,36,36
202512151429,zero_gravity,0.7058823529411765,1116.2060000000001,1233.9862705882351,6.911764705882353,499.34525,0.5270833333333333,34,34
202512151449,gravity,0.7647058823529411,1491.6925,1620.51115,4.181818181818182,1065.649,0.5576923076923077,34,33
202512151449,zero_gravity,0.7714285714285715,1482.047,1646.7058571428572,3.8285714285714287,984.0308,0.5416666666666666,35,35
202512151627,gravity,0.9166666666666666,1316.159,1273.7573333333337,5.647058823529412,1199.275,0.7204301075268817,36,34
202512151627,zero_gravity,0.7222222222222222,1099.5985,1186.9696361111112,5.416666666666667,715.66415,0.7250000000000001,36,36
202512160951,gravity,0.5277777777777778,1392.1354999999999,1504.2972166666666,5.472222222222222,1191.5,0.5479876160990712,36,36
202512160951,zero_gravity,0.7714285714285715,1149.601,1226.8123399999997,6.085714285714285,1332.838,0.6319444444444444,35,35
202512161427,gravity,0.8571428571428571,949.2568,1124.7567857142858,6.0285714285714285,515.5132,0.8666666666666667,35,35
202512161427,zero_gravity,0.8333333333333334,965.9116,1118.0639638888888,6.305555555555555,365.82174999999995,0.8194444444444444,36,36
202512161429,gravity,0.37142857142857144,1148.48,1242.029345714286,6.057142857142857,1116.724,0.534965034965035,35,35
202512161429,zero_gravity,0.4444444444444444,1183.2265,1276.1398722222225,6.027777777777778,1066.057,0.6109374999999999,36,36
202512161433,gravity,0.4722222222222222,1008.6279999999999,1083.336488888889,6.083333333333333,1049.8429999999998,0.5882352941176471,36,36
202512161433,zero_gravity,0.4117647058823529,1099.2785,1147.0071676470588,6.0,1032.2095,,34,34
202512161620,gravity,0.6,1233.281,1364.3217828571428,4.285714285714286,1031.524,0.4421768707482993,35,35
202512161620,zero_gravity,0.6666666666666666,915.6023,988.821286111111,4.694444444444445,575.4570000000001,0.5399305555555556,36,36
202512171000,gravity,0.8333333333333334,758.1940500000001,838.4890333333334,5.75,357.7425,0.55,36,36
202512171000,zero_gravity,0.75,798.8259,918.8758138888887,6.0,399.95230000000004,0.3765432098765432,36,36
202512171004,gravity,0.8333333333333334,748.95875,884.3084416666666,4.916666666666667,857.56715,0.9666666666666668,36,36
202512171004,zero_gravity,0.7714285714285715,849.4829,881.1490514285714,4.571428571428571,749.6104,0.5555555555555556,35,35
202512171013,gravity,0.8857142857142857,817.2947,1089.7096885714284,6.714285714285714,333.3032,0.717741935483871,35,35
202512171013,zero_gravity,0.8611111111111112,791.62235,916.2751638888889,6.805555555555555,332.92655,0.5870967741935484,36,36
202512171417,gravity,0.7777777777777778,657.79665,850.6422416666667,6.666666666666667,408.0724,0.5401785714285714,36,36
