subject,dyad_total,spam_included,m_minus_2sd_threshold
202605271445,941,True,431.1657434710614
202605271539,574,True,431.1657434710614
202605271553,1059,True,431.1657434710614
202605281034,583,True,431.1657434710614
202605281637,677,True,431.1657434710614
202605281645,948,True,431.1657434710614
202605281954,648,True,431.1657434710614
202605291006,937,True,431.1657434710614
202605291659,805,True,431.1657434710614
202606011955,677,True,431.1657434710614
202606011956,1210,True,431.1657434710614
202606041515,681,True,431.1657434710614
202606051733,600,True,431.1657434710614
202606061425,1080,True,431.1657434710614
202606061640,1082,True,431.1657434710614
202606081618,788,True,431.1657434710614
202606091031,421,False,431.1657434710614
202606091426,1047,True,431.1657434710614
202606101015,1254,True,431.1657434710614
202606101415,452,True,431.1657434710614
202606101632,1330,True,431.1657434710614
202606121419,1245,True,431.1657434710614
202606131455,1113,True,431.1657434710614
202606151502,977,True,431.1657434710614
202606151633,874,True,431.1657434710614
202606151954,929,True,431.1657434710614
202606161430,1012,True,431.1657434710614
202606161543,972,True,431.1657434710614
202606171429,1215,True,431.1657434710614
202606171620,928,True,431.1657434710614
202606181002,1273,True,431.1657434710614
202606221624,1032,True,431.1657434710614
202606231419,1098,True,431.1657434710614
202606241623,1281,True,431.1657434710614
202606251616,1345,True,431.1657434710614
202606260938,1229,True,431.1657434710614
202606271424,1148,True,431.1657434710614
202606291609,978,True,431.1657434710614
202606301005,949,True,431.1657434710614
202606301410,953,True,431.1657434710614
202606301635,1192,True,431.1657434710614
202607011009,969,True,431.1657434710614
202607011417,1026,True,431.1657434710614
202607011950,1302,True,431.1657434710614
202607021616,1287,True,431.1657434710614
202607031029,1352,True,431.1657434710614
202607031621,931,True,431.1657434710614
202607061414,1018,True,431.1657434710614
202607061949,1285,True,431.1657434710614
