"term","estimate","std_error","statistic","p_value","model","odds_ratio","ci_low","ci_high"
"size_pair0.9_1.0","0.0398515347298917","0.0986173997958457","0.404102468858345","0.686137369556555","confidence_clmm","1.04065626140984","0.857753455344425","1.26256029359468"
"size_pair1.0_0.8","0.0197182927037549","0.105093005634914","0.18762706980001","0.851169004465128","confidence_clmm","1.01991398234291","0.830054433061014","1.2532003805371"
"size_pair1.0_0.9","0.0174862257328013","0.104649307991225","0.167093562952825","0.867296430830954","confidence_clmm","1.01764000480888","0.828924320659653","1.24931933299207"
"size_pair1.0_1.0","0.131310472315072","0.0952071886872759","1.37920753806084","0.167830774585712","confidence_clmm","1.14032176469634","0.946205391721369","1.37426159100041"
"target_f1","-0.00979686947315906","0.0407187702284847","-0.240598363314659","0.809866418812821","confidence_clmm","0.990250963520603","0.914291656767836","1.07252096581527"
"trial_c","0.0686680025502129","0.0252097770224508","2.72386393933829","0.00645230820485638","confidence_clmm","1.07108055410085","1.01944344842915","1.12533319542218"
"trial_c2","0.00565549387986472","0.0433815270880902","0.130366408457238","0.896276541913964","confidence_clmm","1.00567151637618","0.923695969139745","1.09492217422176"
"conditionzero_gravity:velocity_f3","0.110672906836369","0.127894653328995","0.86534428105978","0.386849853305705","confidence_clmm","1.11702947438784","0.869357701883852","1.43526058830255"
"conditionzero_gravity:velocity_f3.5","0.263248110491377","0.142047778113557","1.85323638276784","0.0638484850011615","confidence_clmm","1.30114950775015","0.984948882977287","1.71886081681814"
"conditionzero_gravity:velocity_f4","0.226615511679407","0.124233139290905","1.82411482936741","0.0681347140707935","confidence_clmm","1.25434749325138","0.98326025175171","1.60017414618662"
"conditionzero_gravity:velocity_f4.5","0.137130808117085","0.137306937623117","0.998717257051381","0.317931678489865","confidence_clmm","1.14697817276311","0.876349066546416","1.50118141162568"
"conditionzero_gravity:velocity_f5","0.247150054259278","0.139217844619775","1.77527568347493","0.0758523784265443","confidence_clmm","1.28037122351994","0.974610942263294","1.68205629439267"
"conditionzero_gravity:size_pair0.8_0.9","-0.106357289583779","0.141618796091765","-0.75101111235872","0.452645968140919","confidence_clmm","0.899103350419343","0.681179019546999","1.18674652556517"
"conditionzero_gravity:size_pair0.8_1.0","0.158322569035154","0.14218603703848","1.11348886524143","0.265498527870414","confidence_clmm","1.17154403759403","0.88659937327236","1.54806722562446"
"conditionzero_gravity:size_pair0.9_0.8","0.238079374696099","0.154826124914797","1.53772094229651","0.124116860850984","confidence_clmm","1.26880990022829","0.936711604501743","1.71864910734574"
"conditionzero_gravity:size_pair0.9_0.9","0.00637561023824363","0.1377269063226","0.0462916826383214","0.963077768497333","confidence_clmm","1.0063959777032","0.768304510667579","1.3182700997774"
"conditionzero_gravity:size_pair0.9_1.0","0.0077679117482329","0.13864493034868","0.0560273767580054","0.955319997910743","confidence_clmm","1.00779816024653","0.767991854711445","1.32248424975535"
